Version	Name	Genre	Artist	bpm	☆N7	☆H7	☆A7	☆D7	☆N14	☆H14	☆A14	☆D14	N7	H7	A7	D7	N14	H14	A14	D14
3	Get on Beat	HARD BAG	ON	126	-	3	0	-	-	3	0	-	-	239	250	-	-	253	254	-
3	Headache	HOUSE	good-cool	143	3	4	-	-	3	4	-	-	276	336	-	-	284	428	-	-
3	Hitch Hiker	WARP HOUSE	good-cool	137	3	4	5	-	4	6	-	-	329	414	469	-	372	469	-	-
3	I Was The One	ITALO HOUSE	good-cool	125	2	3	3	-	2	3	-	-	272	326	348	-	270	270	-	-
3	I'm In Love Again	SPEED GARAGE	dj TAKA	135	4	5	-	-	5	6	-	-	370	438	-	-	392	447	-	-
3	Indigo Vision(full flavour hide around mix)	GOA TRANCE	TaQ	155	3	5	8	-	5	8	-	-	442	569	617	-	455	617	-	-
3	Junglist King	DRUM'N'BASS	Hirofumi Asamoto/(ram jam world)	169	2	3	-	-	2	3	-	-	252	268	-	-	264	270	-	-
3	Junglist King(Long)	DRUM'N'BASS	Hirofumi Asamoto/(ram jam world)	169	-	4	-	-	-	-	-	-	-	437	-	-	-	-	-	-
3	LET THE BEAT HIT EM!	MIAMI BASS	STONE BROS.	110	-	2	-	-	-	2	-	-	-	192	-	-	-	195	-	-
3	lovin' you	JAZZ DRUM'N'BASS	MONDAY MICHIRU	153-154	3	4	-	-	3	4	-	-	293	324	-	-	293	325	-	-
3	Mirrorball Satellite 2012	HIPHOP & SOUL	m-flo	103	-	3	0	-	-	-	-	-	-	242	295	-	-	-	-	-
3	morning prayer	DISCO/HOUSE	SILVA	124	-	2	0	-	-	2	-	-	-	206	137	-	-	206	-	-
3	Panorama	SOUL CLASSIC	Hirofumi Asamoto/(ram jam world)	112	2	3	-	-	2	3	-	-	220	230	-	-	323	339	-	-
3	PUT YOUR FAITH IN ME (for beatmania II)	JAZZ FUNK	dj TAKA feat. UZI-LAY	127	4	6	-	-	4	7	-	-	291	434	-	-	288	434	-	-
3	S.O.S.	INDIE EURO/DANCE	DR.BOMBAY	136-138	4	6	-	-	4	6	-	-	376	640	-	-	530	911	-	-
3	Second Style(Hip Hop Paradise)	HIPHOP	dj TAKA & /DAY BREAKERS	115	4	5	-	-	4	5	-	-	323	398	-	-	330	407	-	-
3	Shake	JAPANESE R&B	double	98	-	2	0	-	-	2	0	-	-	286	318	-	-	320	320	-
3	Shine On	SOUL	Shorai	111	4	5	6	-	4	9	-	-	328	457	479	-	326	602	-	-
3	SOFT LANDING ON THE BODY	SPIRITUAL	DJ SIMON	79-318	4	5	-	-	4	5	-	-	271	338	-	-	273	340	-	-
3	SP-TRIP MACHINE (for beatmania II)	JUNGLE	dj TAKA feat. DE-SIRE	168	3	4	4	-	3	4	-	-	254	313	324	-	254	311	-	-
3	踊る！福神漬(CALCUTTA)	INDIE EURO/DANCE	DR.BOMBAY	138	4	5	0	-	4	5	-	-	488	659	691	-	482	753	-	-
4	Almost Love	HOUSE	SILVA	127	3	4	-	-	3	4	-	-	341	413	-	-	403	485	-	-
4	Artificial Impatience	FUTURE JAZZ	SYMPHONIC DEFOGGERS	163	3	4	0	-	3	4	-	-	218	309	333	-	218	331	-	-
4	Beat Machine	BIG BEAT	CRUNKY BOY Jr.	127	4	5	-	-	4	5	-	-	382	568	-	-	467	568	-	-
4	CAN'T STOP FALLIN'IN LOVE	HYPER EURO BEAT	NAOKI	155	4	8	-	-	4	7	-	-	310	632	-	-	313	620	-	-
4	Cold Pulse	TECHNO	Quadra with DJ FX	143	4	5	5	-	4	5	5	-	338	462	465	-	439	462	465	-
4	Don't stop!	HAPPY HANDBAG	dj TAKA feat. JP Miles	130	4	4	4	-	4	4	-	-	389	428	453	-	391	450	-	-
4	DREAM	HOUSE	SHIN Murayama/feat. mari saito	117	3	4	0	-	5	6	-	-	422	489	597	-	525	620	-	-
4	DYNAMITE RAVE	SPEED RAVE	NAOKI	150	4	6	7	-	4	6	6	-	345	598	614	-	342	589	604	-
4	END OF THE CENTURY	DANCE SPEED	NO.9	171	5	6	7	-	6	8	-	-	463	692	718	-	588	729	-	-
4	era (nostalmix)	DRUM'N'BASS	TaQ	90-180	5	8	9	-	5	12	12	-	437	555	786	-	437	952	1226	-
4	five fathoms (beatmania II special version)	HOUSE	EverythingButTheGirl	121	1	3	-	-	1	3	-	-	168	416	-	-	170	414	-	-
4	Garden of Love	HIPHOP	DJ Mazinger	89	2	3	-	-	3	4	-	-	290	335	-	-	294	362	-	-
4	Get me in your sight	LATIN HOUSE	SYMPHONIC DEFOGGERS	127	3	5	-	-	3	5	-	-	293	428	-	-	292	426	-	-
4	Holic	HARD TECHNO	TaQ	155	5	7	11	-	7	10	12	-	395	624	880	-	680	875	1136	-
4	IS THIS LOVE?	DANCE POP	Asuka.M	115	3	4	5	-	4	5	-	-	300	441	445	-	406	439	-	-
4	L.O.T.(Love Or Truth)	HIPHOP&SOUL	m-flo	93	1	3	-	-	1	3	-	-	268	328	-	-	267	328	-	-
4	LEADING CYBER	DIGI-ROCK	TAKA	150	4	6	7	-	4	6	6	-	434	611	645	-	478	611	645	-
4	Let's talk it over	SOUL	SHIN Murayama/feat. Argie Phine	99	3	4	0	-	3	4	-	-	292	377	436	-	411	466	-	-
4	Make Your Move	FUNK	good-cool feat. JP Miles	119	3	4	0	-	3	5	0	-	326	432	522	-	333	442	522	-
4	never let you down	GARAGE HOUSE	good-cool feat. JP Miles	124	4	5	5	-	4	6	-	-	408	575	581	-	465	577	-	-
4	Presto	PIANO AMBIENT	Osamu Kubota	136	3	8	8	-	3	8	-	-	273	498	508	-	274	508	-	-
4	R5	RAVE	tiger YAMATO with ultrabeatbox	180	5	8	11	-	5	8	11	-	387	588	889	-	430	599	870	-
4	REINCARNATION	TRANCE	dj TAKA	145	4	5	7	-	4	5	7	-	424	525	643	-	398	525	643	-
4	Right Now	DANCE DISCO	atomic kitten	127	3	4	0	-	3	4	0	-	390	528	552	-	406	510	549	-
4	S.O.S.(THE TIGER TOOK MY FAMILY)	DANCE EXPRESS Hi-speed	DR.JEKYLL	169	5	7	-	-	5	7	-	-	633	954	-	-	831	968	-	-
4	Schlagwerk	BIG BEAT	TaQ	125	4	6	8	-	4	11	11	-	414	663	848	-	412	1043	1090	-
4	Sense	RAVE	good-cool	130	4	6	6	-	4	6	6	-	438	567	658	-	406	572	645	-
4	SKIN	R&B	CHARLOTTE Remixed by Shin Murayama	101	2	3	-	-	2	3	-	-	201	247	-	-	202	247	-	-
4	Skyscraper	EPIC HOUSE	good-cool	135	4	6	7	-	4	7	-	-	372	610	629	-	413	628	-	-
4	TAKE ON ME	DANCE EXPRESS Hi-speed	ANGELA	169	5	6	0	-	5	6	0	-	637	729	732	-	588	719	732	-
4	Tangerine Stream	AMBIENT	dj TAKA	84	2	2	-	-	2	2	-	-	141	198	-	-	181	199	-	-
4	THE SAFARI	WORLD HOUSE	Lion Musashi	150	7	10	-	-	8	10	-	-	618	900	-	-	624	900	-	-
5	250bpm	GABBA	AKIRA YAMAOKA	250	5	8	10	-	5	7	9	-	353	528	726	-	351	523	672	-
5	ABSOLUTE	EPIC TRANCE	dj TAKA	60-144	6	8	10	-	6	8	11	-	682	935	1218	-	728	934	1338	-
5	B4U	SPEED RAVE	NAOKI	155	5	9	10	-	6	8	-	-	538	801	1014	-	629	815	-	-
5	Broken My Heart	HYPER EUROBEAT	NAOKI feat.PAULA TERRY	160	5	7	9	-	5	7	10	-	474	751	914	-	405	742	914	-
5	Burnin' the Floor	EURO GROOVE	NAOKI	155	4	5	7	-	4	5	8	-	293	478	721	-	460	482	724	-
5	CHECKING YOU OUT	HIPHOP	good-cool feat.JP Miles	108-216	7	9	11	-	7	11	11	-	339	481	700	-	339	482	703	-
5	Clione	DUTCH TRANCE	kors k	148	4	5	10	-	4	5	9	-	264	479	811	-	264	477	1010	-
5	CONGA	LATIN HOUSE	good-cool feat. JP Miles	122	4	6	0	-	4	7	-	-	446	646	692	-	445	708	-	-
5	DIAMOND JEALOUSY	CYBER ROCK	AKIRA YAMAOKA	190	5	6	-	-	5	6	-	-	343	546	-	-	340	542	-	-
5	DXY!	TECHNO	TaQ	148	6	9	10	-	6	12	12	-	651	968	1158	-	781	1332	1529	-
5	empathy	DRUM'N'BASS	TaQ	85-170	5	7	8	-	5	11	-	-	416	703	743	-	411	961	-	-
5	era (step mix)	DRUM'N'BASS	TaQ	90-180	5	8	9	-	5	8	12	-	565	733	875	-	503	728	1226	-
5	FANTASY	DANCE EXPRESS Hi-speed	ULTIMATE DUB	180	5	7	0	-	6	7	0	-	724	952	1196	-	630	1006	1282	-
5	Final Count Down(MTO CRY BABY STYLE)	METALLIC EURO	dj TAKA feat. Jasmine	164	5	8	9	-	5	7	7	-	410	791	838	-	411	686	838	-
5	FLOWERS for ALBION	AMBIENT	dj TAKA	70-93	2	5	-	-	5	7	-	-	122	222	-	-	190	222	-	-
5	GET ON BEAT(WILD STYLE)	HARD HOUSE	Lion Musashi	150	6	9	10	-	6	8	10	-	730	918	1094	-	702	913	1077	-
5	GIRIGIRI DADDY	R&B	Shoichiro Hirata	98	3	5	0	-	3	6	0	-	338	526	650	-	311	546	740	-
5	HIGHER	DANCE POP	NM feat.Sunny	132	3	4	6	-	4	6	7	-	270	468	641	-	362	578	611	-
5	Hitch Hiker2	WARP HOUSE	good-cool	137	4	6	7	-	5	9	0	-	420	609	665	-	518	880	880	-
5	I'M FOR REAL	TWO STEP	SLAKE feat. JP Miles	140	3	4	4	-	3	4	-	-	264	310	363	-	293	344	-	-
5	INFINITE PRAYER	OCEANIAN TRIBAL TRANCE	L.E.D. feat.GORO	137	4	5	0	-	5	7	0	-	483	555	739	-	562	752	880	-
5	Jam & Marmalade	WARP HOUSE	FinalOffset	145	6	7	8	-	4	6	0	-	388	456	512	-	327	451	512	-
5	JIVE INTO THE NIGHT	DANCE EXPRESS Hi-speed	GREEN ORIVES//CYDNEY	170	5	8	10	-	5	10	11	-	531	884	1120	-	530	1117	1295	-
5	KAMIKAZE	TECHNO	dj nagureo	130	5	6	10	-	5	7	10	-	515	745	1157	-	512	745	1156	-
5	LOVE WILL ...	TRANCE	riewo	144	4	4	7	-	4	6	8	-	279	379	732	-	330	529	726	-
5	LUV TO ME(UCCHIE'S EDITION)	EURO BEAT	tiger YAMATO	160	5	6	11	-	5	8	8	-	438	620	873	-	479	746	826	-
5	minimalian	MINIMAL	DETROIAN	141	3	8	9	-	3	9	12	-	271	555	706	-	263	626	1015	-
5	Mr.T.(take me higher)	DANCE POP	Risky Men feat. Asuka-M	128	3	4	10	-	4	5	10	-	428	510	889	-	428	510	885	-
5	Nasty!	DANCE POP	baby Weapon feat.Asuka.M	127	3	5	9	-	5	9	-	-	295	486	790	-	502	787	-	-
5	NEW YORK CITY BOY	DANCE EXPRESS Hi-speed	GUY THOMAS	170	4	5	-	-	4	5	-	-	369	643	-	-	300	643	-	-
5	NORTH	CELTRANCE	WALL5	138	4	5	-	-	5	8	-	-	305	466	-	-	402	791	-	-
5	Nothing Ain't Stoppin' Us	DISCO	Shoichiro Hirata	128	2	3	-	-	2	3	-	-	196	256	-	-	247	257	-	-
5	R10K	RAVE	tiger YAMATO	190-204	5	6	0	-	5	6	0	-	378	553	655	-	385	585	646	-
5	Rest my mind	HIPHOP	dj nagureo/feat.Doublecheese	94	3	4	-	-	3	4	-	-	230	259	-	-	227	261	-	-
5	sanctus	ROCK OPERA	Osamu Kubota	160	3	5	-	-	3	5	-	-	223	334	-	-	258	359	-	-
5	Small Waves	CLUB MIX	dj TAKA	126	4	5	0	-	4	5	-	-	411	573	585	-	547	584	-	-
5	starmine	HAPPY HARDCORE	Ryu*	182	5	8	9	10	5	8	12	-	456	719	800	1039	566	796	1098	-
5	SWEET LAB	LOUNGE HOUSE	DJ SIMON	120	3	5	6	-	6	11	-	-	280	335	382	-	472	719	-	-
5	Twin Bee(Generation X)	EURO BEAT	FinalOffset	169-177	4	5	0	-	4	5	0	-	332	389	487	-	327	443	474	-
5	ULTRA HIGH-HEELS	PARAPARA	dj TAKA feat.ANGEL	160	4	5	5	-	4	5	-	-	380	462	497	-	441	503	-	-
5	Under Construction	BIG BEAT	good-cool	125	5	7	8	-	5	7	8	-	417	507	582	-	417	569	754	-
5	Vienna	PIANO AMBIENT	Osamu Kubota	115	3	5	-	-	4	6	-	-	315	432	-	-	315	432	-	-
5	Voltage(feat. Hidemaru)	BIG BEAT	TaQ	30-125	5	7	8	-	6	11	-	-	480	630	670	-	480	964	-	-
5	サナ・モレッテ・ネ・エンテ	CUBAN GROOVE	Togo Project feat.Sana	90	3	5	0	-	3	5	-	-	325	457	473	-	453	690	-	-
6	1989	ROCK OPERA	Osamu Kubota	88	4	6	-	-	5	6	-	-	372	562	-	-	352	579	-	-
6	Abyss	INTELLIGENCE	dj TAKA	142	5	7	8	-	7	8	9	-	639	817	945	-	771	889	964	-
6	Come With Me	HOUSE	good-cool feat. Aundrea L.Hopkins	125	4	5	0	-	4	7	-	-	410	483	679	-	472	686	-	-
6	Deadline	TRANCE	Dutch Force	137	3	5	0	-	4	7	0	-	335	626	831	-	509	953	1267	-
6	Estella	SPANISH WALTS	Osamu Kubota	114	4	6	-	-	6	9	-	-	382	559	-	-	567	799	-	-
6	Flash of Love	J-DISCO	good-cool/feat. Mickin'Tackin'	113	4	5	0	-	4	6	0	-	352	514	603	-	362	494	626	-
6	Give Me A Sign	TWO STEP	Shoichiro Hirata feat "Red"	126	4	6	8	-	5	8	9	-	440	650	881	-	660	827	861	-
6	IIDX	HIPHOP	DJ SIMON	110	3	4	0	-	3	4	0	-	283	428	550	-	283	428	550	-
6	in my eyes	TRANCE	ric	142	5	6	7	-	5	8	10	-	484	739	798	-	484	842	1051	-
6	INSERTiON	EURO TRANCE	NAOKI underground	110-225	5	7	8	-	5	7	8	-	452	664	835	-	445	595	850	-
6	Kiss me all night long	J-EURO POP	NAOKI J-STYLE feat.MIU	155	5	6	7	-	5	6	7	-	471	629	746	-	480	620	703	-
6	LOVE AGAIN TONIGHT ～for Mellisa mix～	HYPER EUROBEAT	NAOKI feat. PAULA TERRY	150	4	5	6	-	4	5	-	-	385	501	561	-	466	555	-	-
6	Mobo☆Moga	FRENCH POP	Orange Lounge	172	5	6	7	-	4	5	9	-	363	512	592	-	364	501	645	-
6	outer wall	TECHNO	sampling masters MEGA	149	5	6	8	11	6	7	10	-	474	687	892	1096	474	736	902	-
6	OVER THE CLOUDS	HOUSE	Lala Moore	120-128	3	5	7	-	3	5	9	-	292	573	765	-	291	515	879	-
6	QQQ	TECHNO	TaQ	155	5	8	10	-	10	12	-	-	621	961	1091	-	1016	1346	-	-
6	Radical Faith	BIG BEAT	TaQ	114	5	6	7	-	6	11	10	-	602	768	660	-	749	1255	1101	-
6	Real	DRUM'N'BASS	Aya	200	5	8	9	-	7	9	11	-	580	866	920	-	796	949	1139	-
6	Regulus	INSTRUMENTAL	DJ.W	120-128	6	9	10	-	6	10	11	-	551	788	881	-	545	805	1065	-
6	Remember You	BALLAD	NM feat. Julie	60-105	2	4	-	-	3	4	-	-	187	409	-	-	234	409	-	-
6	RIDE ON THE LIGHT(HI GREAT MIX)	POWER FUSION	Mr.T	180	4	5	8	-	5	8	9	-	452	548	862	-	469	616	904	-
6	RISLIM	NEW ROMANTIC	ric	130	4	7	-	-	4	6	-	-	463	625	-	-	463	625	-	-
6	sometime	SOUND TRACK	Aya	150	4	5	7	-	5	8	-	-	393	539	672	-	393	676	-	-
6	Spin the disc	HOUSE	good-cool	130	5	7	8	-	7	10	-	-	409	659	674	-	618	900	-	-
6	STILL IN MY HEART	HYPER EUROBEAT	NAOKI	150	5	7	9	-	4	6	11	-	517	705	971	-	516	705	1286	-
6	still my words	AMBIENT	TaQ feat. Meg	136	4	6	-	-	5	7	-	-	464	619	-	-	437	726	-	-
6	sync	TRANCE	OutPhase (TaQ/dj TAKA)	167	6	8	10	-	7	9	11	-	549	982	1204	-	796	1030	1208	-
6	tablets	RAVE	sampling masters MEGA	180-360	4	6	8	-	4	6	9	-	378	551	819	-	420	558	696	-
6	THE BIG VOYAGER -INFINITE PRAYER REINTERPRETATION-	GOA TRANCE	L.E.D.	147	5	7	0	-	6	8	-	-	551	871	817	-	549	871	-	-
6	THE CUBE	DRUM'N'BASS	DJ SUWAMI	178	4	6	7	-	4	6	11	-	374	644	682	-	374	645	1113	-
6	THE SHINING POLARIS	EPIC TRANCE	L.E.D. feat. Sana	147	5	7	8	-	6	8	-	-	485	667	799	-	487	665	-	-
6	Time is money	JAZZ	good-cool	110	3	3	-	-	3	4	-	-	308	327	-	-	317	327	-	-
6	V	PROGRESSIVE	TAKA	150	5	10	12	-	6	10	11	-	646	1272	1519	-	757	1385	1504	-
6	VIRTUAL MIND	HIPHOP	Brian Morris feat.Thomas	128	3	7	10	-	5	8	11	-	339	627	806	-	346	653	953	-
6	天国のキッス ～D.J.TAKA'S STYLE～	EURO TRANCE	オセロ	150	3	5	0	-	4	6	0	-	374	606	781	-	433	731	806	-
7	19,November	HOUSE	good-cool	125	5	6	8	-	5	7	10	-	560	733	910	-	589	733	1045	-
7	A New Morning	HOUSE	Yukihiro Fukutomi	125	4	5	0	-	4	7	-	-	307	523	681	-	307	790	-	-
7	BALLAD FOR YOU ～想いの雨～	BALLAD	NM feat. Thomas Howard	65	3	5	7	-	5	8	-	-	297	387	537	-	375	546	-	-
7	Beautiful Days	HOUSE	Fantastic Plastic Machine	125	4	5	0	-	4	5	-	-	411	560	764	-	496	697	-	-
7	Blueberry Stream	HOUSE	dj TAKA	138	5	7	8	-	7	9	10	-	429	770	846	-	598	817	868	-
7	Buffalo	ROCK	good-cool feat. Hideo Suwa	108	5	7	10	-	4	8	10	-	511	744	932	-	479	744	932	-
7	Colors (radio edit)	TRANCE	dj TAKA	150	6	9	12	-	6	11	12	-	751	1011	1258	-	714	1099	1255	-
7	Comment te dire adieu	BOSSA LOUNGE	Orange Lounge	160	4	5	7	-	5	7	8	-	387	477	612	-	553	674	750	-
7	DIVE ～INTO YOUR HEART～	HYPER TRANCE/EURO BEAT	NAOKI feat.PAULA TERRY	155	5	8	10	-	5	8	10	-	656	945	1066	-	623	998	1083	-
7	Doigts de Fatima -ファティマの掌-	CELTIC	Osamu Kubota/feat. Sizzle Ohtaka	217	2	3	0	-	2	3	0	-	260	280	364	-	285	294	363	-
7	Five Regrets	JAZZ ARGENTINO	Osamu Kubota	144	3	7	-	-	5	8	-	-	278	573	-	-	332	564	-	-
7	Flowtation(Original Mix)	TRANCE	Vincent de Moor	140	5	7	0	-	5	7	0	-	627	879	1059	-	627	893	1101	-
7	Fly Away(Instrumental)	TRANCE	Vincent de Moor	138	4	6	0	-	5	7	0	-	416	779	854	-	722	981	1133	-
7	fly through the night	TRANCE	Mr.T	140	4	7	8	-	4	8	10	-	452	688	863	-	452	688	981	-
7	Free Style	DANCE POP	Shapes	132	5	6	7	-	6	6	-	-	473	571	664	-	473	579	-	-
7	Frozen Ray(original mix)	TRANCE	dj TAKA	156	6	9	9	-	5	9	9	-	669	897	909	-	428	839	937	-
7	G2	DRUM'N'BASS	Aya	170	8	9	11	12	6	7	12	-	752	942	1188	1291	665	830	1377	-
7	JUST DO IT	HYPER TECHNO	NIKI	136	4	6	0	-	4	7	-	-	568	839	940	-	568	921	-	-
7	L'amour et la liberte'	TRANCE	NAOKI underground	140-145	5	8	-	-	5	8	-	-	521	811	-	-	521	811	-	-
7	Linus	LOUNGE POP	LEGO STUDIO	160-176	5	9	11	-	5	9	11	-	489	789	1105	-	585	1007	1210	-
7	LOVE IS DREAMINESS	HAPPY HARDCORE	L.E.D.-G VS GUHROOVY/fw/asuka	178	5	6	11	-	7	8	11	-	657	854	1429	-	827	901	1418	-
7	M-02stp.ver.1.01	TWO STEP	Shoichiro Hirata	132	4	6	0	-	4	7	0	-	524	573	709	-	458	768	1159	-
7	NEMESIS	TECHNO	D.J.SETUP	164	5	9	11	-	7	10	12	-	524	839	973	-	667	977	1367	-
7	NIGHT OF FIRE	SUPER EUROBEAT	NIKO	155	4	6	0	-	5	7	0	-	428	780	917	-	427	704	917	-
7	PARAPARA PARADISE	SUPER EUROBEAT	DOMINO	154	5	7	0	-	5	7	-	-	541	825	903	-	583	887	-	-
7	REAL LOVE	HYPER TECHNO	MAZIK K.	140	5	6	0	-	4	7	-	-	597	874	960	-	597	960	-	-
7	ROMEO&JULIET	SUPER EUROBEAT	LOLITA	151	4	6	0	-	4	6	0	-	470	659	1088	-	470	729	1088	-
7	rottel-da-sun	ROTTERDAM TECHNO	sampling masters MEGA	200	5	8	10	-	6	8	-	-	417	692	936	-	418	693	-	-
7	route 80s	NOISY	sampling masters MEGA	122	6	8	9	-	7	11	12	-	457	614	766	-	614	765	900	-
7	Silhoette of my mind	GOTH	ReR	121	3	4	-	-	3	4	-	-	304	403	-	-	339	451	-	-
7	SOMETHING WONDERFUL	EPIC TRANCE	L.E.D.	150	4	6	0	-	5	7	-	-	471	688	688	-	646	979	-	-
7	Summer Vacation(CU MIX)	TRIP HOP	OutPhase	135	6	9	-	-	9	12	-	-	667	949	-	-	984	1328	-	-
7	Take It Easy	INSTRUMENTAL	Aya	205	7	10	11	-	6	11	-	-	760	1229	1282	-	745	1356	-	-
7	VJ ARMY	ALL MIX	good-cool	135-160	6	7	8	-	5	7	10	-	663	893	972	-	658	839	1138	-
